gene	log2FC	padj	AveExpr	t
TIGAR	0.52889205053941	4.37073103075263e-07	2.04395670650417	6.01290389656268
TBX6	-0.52882429651933	2.05518352972956e-08	1.28206635109652	-6.85153581079672
SCNN1G	-0.528805169466792	0.000784205806396968	4.06513690453121	-3.78498664318085
COLGALT1	0.528774595764314	9.63459512330547e-12	5.10931689581117	8.94726125740919
AL132822.1	0.528769691324443	0.0205195035951817	-5.38978324864749	2.58023756746216
TREX2	-0.52876239447433	0.00344217879175865	-0.955029279556077	-3.27346459668274
CNGB3	-0.528741674486647	0.00331238137877232	-4.68809820088373	-3.28735004879433
ATP1B4	0.52871077114691	0.0701577436624936	-5.86973126481543	2.02100594614598
AC104581.4	-0.528698777567813	9.17132802423324e-06	0.0817867812752445	-5.15322670279839
AL078621.1	-0.528686537846168	4.56828181660527e-07	0.333206510088196	-6.00078519732418
SOWAHC	-0.528635409725936	1.0579060427628e-06	4.65100067702834	-5.76725504385618
MPST	0.528586776591228	1.06140159088931e-05	4.87183948216907	5.11067587506627
SGMS1-AS1	-0.528532910774983	7.98589075552571e-10	3.12831724555877	-7.73505837092663
PAQR5	-0.528407611810429	0.0112715077867398	-0.414378300835322	-2.82489139139839
RHOBTB2	0.52828833567114	3.44145348809278e-08	6.03494391856871	6.71060379098203
AC006518.2	-0.528235792110457	0.0154024286017861	-4.71627434284331	-2.69898111565011
TRAV30	0.528215448063782	0.0647566122206818	-5.12222351746396	2.06055742854391
ACAT1	-0.528191543897193	4.3957188295852e-05	5.56187027613606	-4.69143708102563
TBX21	-0.528092356919962	0.0021374233510283	-0.155018392152765	-3.44228541240568
MYO1B	0.528080243626933	3.77643741204694e-06	5.42247231665115	5.4074355828323
APOL4	0.527987622680469	0.00471118439583465	1.94701782473302	3.1586088044347
CRYGN	0.527889307801946	0.00798011555232253	4.83050125955877	2.95989740927584
FALEC	0.52781937360822	0.0601114844229445	-3.49392626472069	2.09726132070109
TMEM123	-0.527793927039775	3.21585260348362e-09	8.59459385562084	-7.35689099563327
AC090607.1	-0.527734337087946	0.0321331514834647	-4.33927252281079	-2.38715124782052
CXCR6	-0.527645033937775	0.00729246971995353	1.69993037007872	-2.99468916584617
WBP2NL	-0.527624808701895	0.00174875571715019	0.711209925064146	-3.51267829172406
MINDY2	-0.527469654363627	1.62931950113408e-10	5.36915178882602	-8.1696965061391
PIAS3	0.527401037577035	2.6643088209717e-06	4.47458834244166	5.50710152441434
AC079766.1	-0.527386845381749	9.34190250119354e-05	-2.20184189384223	-4.46296777980767
AC068522.1	0.527275550810436	0.0100137061588577	-3.31764643161591	2.87125871556834
MMP21	-0.527224622886871	0.0230570747485184	-1.66930413344837	-2.53076909427351
LIPE	0.527216196536688	0.000126915452922902	2.51931832888451	4.36923044351313
FAM107A	-0.527208192491322	0.00316633155009668	5.89990522264838	-3.30376526218152
LINC01715	-0.52715910700858	0.000155540275418004	-2.16791529306826	-4.30589618571501
ZNF236-DT	0.52711828604869	1.34111851856729e-08	0.355868441697397	6.96821892812691
LINC02021	-0.527091011583327	1.7121585365452e-07	1.31825721957576	-6.27287111614673
AP000919.1	0.527074747802238	0.00784712463737223	-4.30490650293369	2.96648437782293
ASB11	-0.526978804783331	0.0705491753191647	-5.24871974944933	-2.01836405300742
NPM3	0.526929265520454	9.8818597575694e-06	3.53617246121893	5.13153965789787
GCHFR	0.526770290876783	0.00130423791354519	-2.20476389436274	3.61344227486464
GCAT	-0.526755408845126	2.94988035929399e-05	4.58347267363955	-4.80962550636618
LINC01311	0.526752428049715	5.82961153681663e-05	-0.534804967173022	4.60684237025209
PPP2R2C	-0.52674353069917	0.121446959086814	-2.33110394529501	-1.73298239653932
ADAMTS4	0.526695729299851	0.0524065423578449	2.98466879246961	2.16320652796348
AC092471.1	-0.526650758724335	0.0133504385188102	-3.91093613575571	-2.75735218645803
OR2A5	-0.526630125678637	0.00883880078005709	-3.26290409113081	-2.92022886628774
KLF7-IT1	-0.526605537338777	0.0234349830600919	-3.5359709584446	-2.52389863721477
AC025171.5	0.526596841111725	0.00187951713965901	-2.32743789265273	3.48727657809516
SLC19A3	-0.526407710373549	0.0731550811315301	-2.42896736274944	-2.00034839109949
AC116533.1	0.526356583318602	0.00164929115551685	2.24824616543795	3.53332906107773
BEST1	0.526328180392393	2.68303390568893e-07	1.30908342387097	6.14877675833323
CALCOCO2	-0.526277358385885	1.60820489679315e-12	6.75726384759112	-9.44865630213603
FBXO36	-0.526268387915563	1.45653944301335e-08	3.401084875045	-6.94546029242704
ANXA6	-0.526254134257667	8.70384988063824e-08	7.40705799561217	-6.45785473288438
TRIM60P17	0.526175949655776	0.00848379574956822	-2.98510660719121	2.93603679336878
FAM106C	-0.526134449684378	0.0176468293237585	-5.5513050459735	-2.64314657829079
TMEM19	-0.526076306475913	3.33820916787452e-10	4.5361882992956	-7.97241068782469
PLK4	0.526020968297813	3.32525542345479e-07	1.45315845341762	6.08892561145653
